Idtram,Tramite,cluster,log_tiempo,CONTEO_NETO,N_FORMATOS_FINAL,nivel_cat
7622.0,Inscripción (CEH),0,7.273092595999522,1,0,Nivel 1
7626.0,Registro de Admisión (CEH),0,7.273092595999522,2,2,Nivel 1
7628.0,"Componente Rehabilitación, Modernización y Tecnificación de Distritos de Riego.",3,9.575052927597383,3,1,Nivel 2
7629.0,Componente Equipamiento de Distritos de Riego.,3,9.575052927597383,3,1,Nivel 2
7632.0,"Componente Rehabilitación, Modernización, Tecnificación, Equipamiento de Unidades de Riego y Proyectos Productivos en Zonas de Atención Prioritaria.",3,9.575052927597383,5,1,Nivel 2
7663.0,Certificación de copias de documentos históricos,0,7.273092595999522,0,0,Nivel 1
7746.0,Acuerdo de autorización por cambio de domicilio,0,12.465359101477507,2,1,Nivel 1
7805.0,Duplicado de certificado de estudios UTVM,0,10.316953898529778,1,0,Nivel 1
8129.0,Expedición de Certificado de Estudios UTVAM,0,7.9658927350845286,2,0,Nivel 4.3
8132.0,Historial Académico UTMZ,0,7.273092595999522,0,1,Nivel 1
8136.0,Curso de Lengua Extranjera a Público en General y Personal Docente y Administrativo UTVAM,0,7.9658927350845286,3,1,Nivel 1
8142.0,Reposición de Credencial Escolar UPP,0,2.772588722239781,2,0,Nivel 1
8154.0,Becas UPT,7,2.1972245773362196,1,1,Nivel 4.1
8172.0,Aclaración de resultados de exámenes de Preparatoria Abierta por omisión y/o revisión administrativa,0,2.772588722239781,1,1,Nivel 1
8176.0,Registro de Equivalencias Preparatoria Abierta,0,3.044522437723423,3,1,Nivel 1
8256.0,Titulación UPH,3,12.059895922372384,7,0,Nivel 2
8293.0,Constancia de Estudios COBAEH,0,7.9658927350845286,0,0,Nivel 1
8294.0,Certificado de Estudios COBAEH,0,10.316953898529778,0,0,Nivel 1
8295.0,Equivalencia de Estudios COBAEH,0,9.757362911053992,1,0,Nivel 1
8298.0,Seguro Escolar COBAEH,0,1.791759469228055,0,0,Nivel 1
8299.0,Historial académico UTVM,0,1.0986122886681096,1,0,Nivel 4.3
8309.0,Equivalencias de estudios UTVM,0,10.316953898529778,3,0,Nivel 1
8314.0,Alimentación Escolar Modalidad Fría,6,7.273092595999522,2,1,Sin_nivel
8315.0,Alimentación Escolar Modalidad Caliente,0,7.273092595999522,1,0,Nivel 1
8322.0,"Atención Alimentaria a Grupos Prioritarios, Personas Mayores",0,7.273092595999522,0,0,Nivel 1
8323.0,Atención Alimentaria en los Primeros 1000 Días,0,7.273092595999522,2,1,Nivel 1
8328.0,Atención Alimentaria a Personas en Situación de Emergencia o Desastre,0,7.273092595999522,0,0,Nivel 1
8331.0,"Atención Alimentaria a Grupos Prioritarios, Personas con Discapacidad",0,7.273092595999522,1,0,Nivel 1
8340.0,Atención Psicológica a Mujeres en Situación de Violencia de Género,6,4.110873864173311,0,0,Sin_nivel
8361.0,Admisión ITESHU.,0,3.332204510175204,4,0,Nivel 1
8688.0,Servicios de Sensibilización y desarrollo de habilidades para la vida de las juventudes,6,7.273092595999522,0,0,Sin_nivel
8718.0,Aviso de Actualización de Datos o Baja del Establecimiento de Insumos para la Salud que Opera con Licencia Sanitaria.,0,3.044522437723423,0,0,Nivel 1
8719.0,Aviso de Actualización de Datos para Servicios Urbanos de Fumigación y Control de Plagas Urbanas del Establecimiento que Opera con Licencia Sanitaria.,0,0.0,0,0,Nivel 1
8720.0,Aviso de Funcionamiento de Crematorio,0,9.980494888896912,7,1,Nivel 1
8722.0,Aviso de Funcionamiento de Panteón.,0,9.980494888896912,6,1,Nivel 1
8727.0,Licencia Sanitaria de Unidades Móviles para Traslado de Cadáveres,0,9.980494888896912,3,0,Nivel 1
8739.0,Solicitud de Modificación a la Licencia Sanitaria de Establecimientos de Insumos para la Salud Modalidad G.- Farmacia o Botica (con venta de medicamentos controlados),0,11.366754528799241,2,0,Nivel 1
8740.0,Solicitud de Modificación a la Licencia Sanitaria para Servicios Urbanos de Fumigación y Control de plagas.,0,11.366754528799241,3,0,Nivel 1
8858.0,Credencial Escolar y duplicado COBAEH,0,10.363472411086743,0,0,Nivel 1
8860.0,Asesoría para el Desarrollo de Productos y la Comercialización en Agronegocios.,3,7.273092595999522,2,1,Nivel 2
8862.0,Asesoría para el trámite de la membresía GS1 para la trazabilidad en productos agropecuarios,3,7.273092595999522,3,4,Nivel 2
8863.0,Asesoría presencial y a distancia para la Constitución de Sociedades Agropecuarias y Pesqueras.,3,7.273092595999522,2,0,Nivel 2
8865.0,Asistencia Técnica y Capacitación Pecuaria.,3,8.881975184248867,1,1,Nivel 2
8867.0,Siembra de Crías de Peces.,3,10.673618922112436,0,1,Nivel 2
8905.0,Clínica Universitaria de Rehabilitación Integral (C.U.R.e.I.) Servicios de Terapia Física UPP,5,7.273092595999522,3,0,Nivel 3.7
8933.0,Inscripción al Catálogo de Empresas del Sector Energético del Estado de Hidalgo.,0,10.162808729968926,3,1,Nivel 1
8934.0,"Reinscripción: 2°,3°,4°,5° y 6° Semestre Bachillerato del Estado de Hidalgo",0,3.4339872044851463,1,0,Nivel 1
8939.0,Titulación UPMH,1,12.813664661036311,4,1,Nivel 3.2
8956.0,Opinión de Cumplimiento de Obligaciones Fiscales Estatales,6,8.371242135931933,0,0,Sin_nivel
8984.0,Reposición de certificado o constancia del ICATHI,0,3.4339872044851463,1,0,Nivel 1
9011.0,Tienda en línea Margarita Michelena.,0,7.9658927350845286,0,0,Nivel 1
9036.0,Cesión de Derechos - Comisión Estatal de Vivienda,6,3.4339872044851463,3,1,Sin_nivel
9037.0,Órdenes de escrituración - Comisión Estatal de Vivienda,6,3.4339872044851463,4,1,Sin_nivel
9074.0,Constancia escolar UICEH,0,7.273092595999522,1,0,Nivel 1
9075.0,"Asesoría técnica, especializada en agricultura sustentable.",3,7.273092595999522,1,0,Nivel 2
9077.0,Credencialización UICEH,0,4.110873864173311,1,0,Nivel 1
9918.0,Garantias del Interes Fiscal (Federal),6,11.772215778919925,0,1,Sin_nivel
9919.0,Garantias del Interes Fiscal (Estatal),6,11.772215778919925,0,1,Sin_nivel
9920.0,Remates en línea,6,10.673618922112436,0,0,Sin_nivel
9948.0,Historial Académico UNIDEH,6,7.273092595999522,1,0,Sin_nivel
9957.0,Dictamen de Equivalencia (ITSOEH),6,11.366754528799241,3,1,Sin_nivel
9974.0,Préstamo con maquinaria especializada para la nivelación de tierras agrícolas.,3,7.273092595999522,1,1,Nivel 2
10035.0,Publicaciones e impresiones (Materia Catastral Compendio Catastral),6,8.371242135931933,1,0,Sin_nivel
10079.0,Refrendo anual perito topográfo,6,12.059895922372384,1,2,Sin_nivel
10080.0,Becas para la Transformación de Estudiantes de Instituciones de Educación Superior,7,8.881975184248867,11,3,Nivel 4.1
10106.0,Copia de Ortofoto a color escala 1:1000,6,8.371242135931933,2,1,Sin_nivel
10408.0,Autorización de Centro de Asesoría Particular de Preparatoria Abierta,0,9.980494888896912,9,0,Nivel 1
10519.0,Admisión UPFIM,2,7.273092595999522,1,0,Nivel 3.9
10522.0,Constancia Escolar UPFIM,0,6.175867270105761,1,0,Nivel 1
10523.0,Certificado Parcial UPFIM,2,9.980494888896912,2,0,Nivel 3.9
10524.0,Cursos de Educación Continua UPFIM,2,7.273092595999522,1,0,Nivel 3.9
10549.0,Titulación en la UICEH,0,13.158504353030688,8,0,Nivel 1
10562.0,Examen TOEFL UPFIM,6,7.273092595999522,1,0,Sin_nivel
10587.0,Asesoría Jurídica en Derechos Humanos,6,7.273092595999522,0,0,Sin_nivel
10588.0,Escrituras Públicas para personas que han tenido en posesión un predio,0,12.75304020942637,5,0,Nivel 1
10605.0,Modificación de Tipo de Perito en el Padrón,6,8.371242135931933,3,1,Sin_nivel
10606.0,Atención al empoderamiento.,6,3.4339872044851463,0,0,Sin_nivel
